date,ticker,spot,log_return,atm_implied_vol,estimated_variance,estimated_realized_vol,predicted_return,innovation,window_log_likelihood,spread,smoothed_spread,spread_zscore,allocation
2020-01-02,SPY,324.87,,0.10022500000000001,,,,,,,,0.0,1.0
2020-01-03,SPY,322.43,-0.007539043895822495,0.1192,,,,,,,,0.0,1.0
2020-01-06,SPY,323.68,0.0038693150068604965,0.110995,,,,,,,,0.0,1.0
2020-01-07,SPY,322.74,-0.002908327906228969,0.113375,,,,,,,,0.0,1.0
2020-01-08,SPY,324.39,0.005099450112348691,0.1158,,,,,,,,0.0,1.0
2020-01-09,SPY,326.59,0.0067590659484837445,0.10059,,,,,,,,0.0,1.0
2020-01-10,SPY,325.64,-0.002913084868262139,0.10089000000000001,,,,,,,,0.0,1.0
2020-01-13,SPY,327.92,0.006977199490305175,0.100215,,,,,,,,0.0,1.0
2020-01-14,SPY,327.42,-0.001525925769886527,0.10366500000000001,,,,,,,,0.0,1.0
2020-01-15,SPY,328.16,0.002257543897875358,0.10392000000000001,,,,,,,,0.0,1.0
2020-01-16,SPY,330.86,0.008194030854799195,0.098465,,,,,,,,0.0,1.0
2020-01-17,SPY,332.01,0.0034697637659331093,0.09814,,,,,,,,0.0,1.0
2020-01-21,SPY,331.29,-0.002170964217653726,0.106485,,,,,,,,0.0,1.0
2020-01-22,SPY,331.35,0.0001810938070860857,0.10973,,,,,,,,0.0,1.0
2020-01-23,SPY,331.8,0.0013571592221088835,0.108105,,,,,,,,0.0,1.0
2020-01-24,SPY,328.74,-0.00926521297796512,0.123985,,,,,,,,0.0,1.0
2020-01-27,SPY,323.51,-0.016037139414105006,0.15413,,,,,,,,0.0,1.0
2020-01-28,SPY,326.88,0.010363105705037512,0.140395,,,,,,,,0.0,1.0
2020-01-29,SPY,326.62,-0.000795715420714771,0.14305,,,,,,,,0.0,1.0
2020-01-30,SPY,327.62,0.0030569845278884955,0.13753500000000002,,,,,,,,0.0,1.0
2020-01-31,SPY,321.75,-0.018079553700249384,0.157885,,,,,,,,0.0,1.0
2020-02-03,SPY,324.12,0.007338971116288562,0.15918,,,,,,,,0.0,1.0
2020-02-04,SPY,329.06,0.01512628736597943,0.139005,,,,,,,,0.0,1.0
2020-02-05,SPY,332.84,0.01142178907372493,0.128005,,,,,,,,0.0,1.0
2020-02-06,SPY,333.93,0.003269496141014905,0.12329000000000001,,,,,,,,0.0,1.0
2020-02-07,SPY,332.24,-0.005073790850746107,0.12821,,,,,,,,0.0,1.0
2020-02-10,SPY,334.75,0.007526385248784351,0.12312999999999999,,,,,,,,0.0,1.0
2020-02-11,SPY,335.27,0.0015521927835076,0.124775,,,,,,,,0.0,1.0
2020-02-12,SPY,337.44,0.006451539375674997,0.112055,,,,,,,,0.0,1.0
2020-02-13,SPY,337.17,-0.00080046253217958,0.116755,,,,,,,,0.0,1.0
2020-02-14,SPY,337.6,0.0012745085235170706,0.107985,0.053050395173967056,0.2303267139824798,0.0011111195505887073,0.0001633889729283633,96.5175581788464,-0.12234171398247981,-0.12234171398247981,0.0,1.0
2020-02-18,SPY,336.73,-0.002580340434851003,0.11718,0.06783181572864617,0.2604454179451928,0.00108553393561895,-0.003665874370469953,93.75432261430647,-0.14326541794519282,-0.12931628197005082,0.0,1.0
2020-02-19,SPY,338.32,0.004710770877282222,0.121885,0.06913636958365962,0.2629379576699789,0.0010752251142253921,0.00363554576305683,93.5522334456874,-0.1410529576699789,-0.13322850720336019,0.0,1.0
2020-02-20,SPY,336.99,-0.0039389368426459015,0.127745,0.0790318816746132,0.2811260956841488,0.0010642742478765913,-0.005003211090522493,91.70523986781254,-0.15338109568414882,-0.1399460366969564,0.0,1.0
2020-02-21,SPY,333.45,-0.010560327243272383,0.14584,0.1072626920593614,0.327509835057455,0.0010136900947286323,-0.011574017338001015,87.97174965137158,-0.18166983505745501,-0.1538539694837893,-1.5138114140524068,0.3944754343790372
2020-02-24,SPY,322.42,-0.03363788563046288,0.21355,0.08896243056074069,0.29826570463387286,0.001075069169312881,-0.034712954799775764,92.78567202427384,-0.08471570463387287,-0.13080788120048384,0.37715545568788833,1.1508621822751555
2020-02-25,SPY,312.59,-0.030962615735435683,0.24548,0.14076148324216825,0.37518193352314855,0.0009645351020460199,-0.0319271508374817,85.21094889721742,-0.12970193352314854,-0.13043923197470542,0.3804427299794493,1.1521770919917798
2020-02-26,SPY,311.61,-0.0031400218045867234,0.23363499999999998,0.11414751840422194,0.33785724559970876,0.000992377893265839,-0.004132399697852562,89.38864897252101,-0.10422224559970877,-0.12170023651637321,1.064006506804756,1.4256026027219024
2020-02-27,SPY,297.68,-0.045733321869462884,0.339525,0.16710463599901668,0.40878433922915475,0.0009239977911956847,-0.04665731966065857,83.16138807870642,-0.06925933922915473,-0.10421993742063372,1.8678962725175636,1.7471585090070256
2020-02-28,SPY,296.24,-0.004849147433009904,0.37383,0.1776833287858656,0.4215250037493216,0.0008660161936982734,-0.005715163626708177,81.62276262815591,-0.04769500374932162,-0.08537829286352969,2.0995792669294566,1.8398317067717826
2020-03-02,SPY,308.9,0.041847663319178885,0.25556999999999996,0.1170980794168707,0.34219596639479943,0.0009470154153101151,0.04090064790386877,84.39021590169659,-0.08662596639479947,-0.08579418404061961,1.661390760422469,1.6645563041689875
2020-03-03,SPY,300.32,-0.028169027086337728,0.332805,0.12190201407582944,0.3491446893135129,0.0009998307908932885,-0.029168857877231016,84.16798419006751,-0.016339689313512873,-0.0626426857982507,2.026201159225681,1.8104804636902725
2020-03-04,SPY,313.05,0.04151434935312093,0.251295,0.10246135968726665,0.3200958601532776,0.0009758012409677788,0.04053854811215315,82.18072394009664,-0.06880086015327763,-0.06469541058325969,1.636401154188121,1.6545604616752483
2020-03-05,SPY,302.51,-0.03424858741558179,0.34012,0.11857331116027396,0.3443447562549399,0.0010126617315088932,-0.03526124914709068,80.25435761802177,-0.004224756254939899,-0.0445385258071531,1.886461729218841,1.7545846916875365
2020-03-06,SPY,297.46,-0.016834572611285736,0.347865,0.12662042860653244,0.3558376436052437,0.0009796014134272335,-0.01781417402471297,79.38348675249799,-0.007972643605243745,-0.03234989840651665,1.8663676178462634,1.7465470471385054
2020-03-09,SPY,274.48,-0.0804013636142571,0.487275,0.45320053888956924,0.6732017074321553,-0.0007476839814509126,-0.07965367963280617,75.84508569263953,-0.18592670743215534,-0.08354216808172954,0.48991415110082737,1.195965660440331
2020-03-10,SPY,288.39,0.04943533219563978,0.41383000000000003,0.5064102814754627,0.7116250989639578,-0.0011928891811949852,0.050628221376834766,69.26446899752281,-0.2977950989639577,-0.15495981170913894,-1.3272703209737253,0.4690918716105098
2020-03-11,SPY,274.25,-0.05027363159049525,0.498745,0.44147781044473944,0.6644379658363446,-0.0008027273806422222,-0.04947090420985303,75.22731617333399,-0.16569296583634463,-0.15853752975154084,-1.3082282694294247,0.4767086922282301
2020-03-12,SPY,247.91,-0.10097432208147517,0.70953,0.5674885716460341,0.7533183733628392,-0.0009265837437318798,-0.10004773833774329,71.66862249477616,-0.04378837336283925,-0.120287810955307,-0.315177144201616,0.8739291423193536
2020-03-13,SPY,270.94,0.08883161707872667,0.4892,0.45536784811244657,0.6748094902359084,-0.0011862460084748616,0.09001786308720153,68.62535065793986,-0.1856094902359084,-0.1420617040488408,-0.8509378231216288,0.6596248707513485
2020-03-16,SPY,239.75,-0.12230068038904296,0.760235,0.652555379692433,0.80780899951191,-0.0010398785339836708,-0.12126080185505929,62.53602760983483,-0.04757399951190999,-0.11056580253653053,-0.013854775616495075,0.994458089753402
2020-03-17,SPY,254.1,0.058131176562570275,0.651435,0.7255063122602642,0.8517665832023843,-0.0016592631939379918,0.05979043975650827,57.74602811934,-0.2003315832023843,-0.14048772942514848,-0.7947591262948782,0.6820963494820487
2020-03-18,SPY,241.23,-0.05197705509795103,0.707545,0.7609115136984181,0.8723024210091465,-0.001437131675739202,-0.05053992342221183,58.0293006104868,-0.16475742100914648,-0.1485776266198145,-0.9691497355635318,0.6123401057745872
2020-03-19,SPY,240.94,-0.001202895389460501,0.661365,0.6057748399754878,0.778315385930079,-0.0012594488631270176,5.6553473666516585e-05,61.13366878665615,-0.116950385930079,-0.13803521305656935,-0.682311986341976,0.7270752054632096
2020-03-20,SPY,228.95,-0.051044300735601844,0.59738,0.6708909609733057,0.8190793374107942,-0.0012626692198029338,-0.04978163151579891,59.34470082728333,-0.22169933741079417,-0.16592325450797762,-1.3352315968956034,0.4659073612417586
2020-03-23,SPY,222.21,-0.02988075840979665,0.55877,0.7721835633929491,0.8787397586276321,-0.0015199739350699529,-0.028360784474726695,56.94182904358147,-0.3199697586276321,-0.21727208921452912,-2.2563247143495397,0.09747011426018404
2020-03-24,SPY,242.0,0.08531484546337875,0.53362,0.5927240485842942,0.7698857373560665,-0.0014539708795972758,0.08676881634297604,55.8246371100799,-0.23626573735606649,-0.22360330526170824,-2.038490889424539,0.18460364423018438
2020-03-25,SPY,246.79,0.019600046415069627,0.5875699999999999,0.6138746113232194,0.7835015069055192,-0.001329494249262396,0.020929540664332023,54.146568962824,-0.1959315069055193,-0.21437937247631195,-1.6467588815565657,0.34129644737737364
2020-03-26,SPY,261.14,0.0565188894081361,0.5344850000000001,0.4970528678767008,0.7050197641745235,-0.0011905226537035282,0.057709412061839625,52.496190620824734,-0.1705347641745234,-0.19976450304238244,-1.2547714385562128,0.4980914245775149
2020-03-27,SPY,254.0,-0.027722394961355867,0.5510250000000001,0.5303106776460104,0.7282243319513639,-0.0010385568565739953,-0.026683838104781872,51.161709861377624,-0.17719933195136384,-0.19224277934537626,-1.0242687155407164,0.5902925137837134
2020-03-30,SPY,261.56,0.02932943567453883,0.479375,0.7703473358982813,0.8776943294212862,-0.0015700273066027656,0.030899462981141594,52.44551547218636,-0.39831932942128623,-0.26093496270401295,-1.890806894818185,0.2436772420727259
2020-03-31,SPY,257.6,-0.015255708462876605,0.440015,0.7933824513455694,0.8907201868968556,-0.0014351788523666933,-0.013820529610509912,51.217385978761044,-0.4507051868968556,-0.3241917041016272,-2.335535118788504,0.06578595248459829
2020-04-01,SPY,246.04,-0.045913869890031656,0.51821,0.8890680469314768,0.9429040496951303,-0.0015029616673768106,-0.044410908222654845,49.47961522230911,-0.42469404969513036,-0.35769248596612824,-2.30089503380897,0.07964198647641196
2020-04-02,SPY,251.99,0.0238952798442007,0.45394,0.8312209793295686,0.9117132111193567,-0.0016704331556243457,0.025565712999825047,47.63707019318726,-0.45777321111935665,-0.39105272768387106,-2.246518775509753,0.10139248979609883
2020-04-03,SPY,247.95,-0.01616229124922519,0.418065,0.8487355856618737,0.9212684655744349,-0.0015429765352177674,-0.014619314714007424,44.71816275540305,-0.5032034655744348,-0.42843630698072566,-2.237058443254231,0.10517662269830763
2020-04-06,SPY,264.79,0.06570994606416658,0.37696,0.6658024702836028,0.8159671992694332,-0.0015075836492100952,0.06721752971337668,43.76375624834158,-0.43900719926943316,-0.4319599377436282,-2.0007567273139055,0.19969730907443772
2020-04-07,SPY,265.18,0.0014717816872638068,0.401535,0.6180250985211846,0.7861457234642854,-0.0011504654655499214,0.002622247152813728,42.533284392681175,-0.3846107234642854,-0.4161768663171806,-1.6491465141064388,0.3403413943574245
2020-04-08,SPY,274.0,0.03271926570149741,0.37643,0.5508753333184627,0.7422097636911432,-0.0011434911553074648,0.03386275685680488,38.39370254037229,-0.36577976369114323,-0.39937783210850153,-1.341720636257076,0.4633117454971696
2020-04-09,SPY,278.22,0.015284061243353797,0.36615,9.952525493905462,3.154762351414994,-0.019995448160700646,0.03527950940405444,-88.37401551296456,-2.7886123514149936,-1.1957893385439988,-3.0,0.0
2020-04-13,SPY,275.63,-0.009352781005283362,0.36263999999999996,9.844968119124601,3.1376692176079684,-0.019678030249878464,0.010325249244595103,-91.17549896758322,-2.7750292176079685,-1.722202631565322,-3.0,0.0
2020-04-14,SPY,283.8,0.029210378099801204,0.32605,0.46282037773082824,0.6803090310519391,-0.0009527761871788443,0.03016315428698005,39.45892719026707,-0.35425903105193907,-1.2662214313941944,-1.9624447079084377,0.21502211683662487
2020-04-15,SPY,277.75,-0.021548336206202556,0.356595,11.864849381642749,3.444539066644875,-0.023693574381058347,0.0021452381748557903,-148.93472299045789,-3.087944066644875,-1.8734623098110879,-2.596786530379673,0.0
2020-04-16,SPY,278.96,0.004346973847655811,0.35381,0.5107594730680629,0.7146743825463894,-0.0009465509314300347,0.005293524779085845,40.83285473654598,-0.36086438254638936,-1.369263000722855,-1.4567371489529626,0.41730514041881495
2020-04-17,SPY,286.56,0.026879535945006694,0.316265,0.4101969627768379,0.6404662073652582,-0.0008375310756652751,0.02771706702067197,37.743180964770055,-0.32420120736525815,-1.0209090696036562,-0.748008788833701,0.7007964844665195
2020-04-20,SPY,281.76,-0.01689229356450639,0.367545,0.4381774519364534,0.6619497352038547,-0.000711941243895016,-0.016180352320611373,24.541836150560595,-0.2944047352038547,-0.7787409581370558,-0.25627436360708084,0.8974902545571677
2020-04-21,SPY,273.11,-0.03118100031466131,0.40329499999999996,0.30600006309782685,0.5531727244702389,0.0029814411046606565,-0.03416244141932197,50.531751721850995,-0.14987772447023895,-0.569119880248117,0.17116927409970853,1.0684677096398834
2020-04-22,SPY,279.04,0.02148049628738047,0.365175,0.30489665607338057,0.5521744797375016,0.0029603564749435957,0.018520139812436873,51.26263810289662,-0.18699947973750153,-0.4417464134112452,0.4381278969813916,1.1752511587925567
2020-04-23,SPY,279.01,-0.0001075172476623365,0.356835,0.3017329872111066,0.549302273080229,0.0029764236464377564,-0.003083940894100093,52.17563890027699,-0.19246727308022904,-0.35865336663423986,0.6155742922777346,1.2462297169110939
2020-04-24,SPY,282.89,0.013810506030238479,0.305095,0.2922350288669027,0.5405876699175655,0.002989819185784018,0.01082068684445446,54.43793526402357,-0.23549266991756546,-0.3175998010620151,0.7102191030150908,1.2840876412060362
2020-04-27,SPY,287.1,0.014772457623827506,0.271635,0.2957646792441718,0.5438425132739917,0.002982117055653599,0.011790340568173907,55.979692293235736,-0.2722075132739917,-0.3024690384660073,0.7556954060349066,1.3022781624139625
2020-04-28,SPY,285.69,-0.004923280252953965,0.280795,0.2890549938483924,0.5376383485656435,0.003004688190410512,-0.007927968443364478,59.168729882671116,-0.2568433485656435,-0.28726047516588604,0.8011616923410809,1.3204646769364323
2020-04-29,SPY,293.15,0.025777116536159106,0.25766999999999995,0.28827597876161687,0.5369133810603129,0.002992657518199854,0.022784459017959252,59.62816096861103,-0.279243381060313,-0.2845881104640284,0.8102790620797766,1.3241116248319107
2020-04-30,SPY,290.26,-0.009907350368006718,0.282995,0.2877227820860571,0.5363979698750333,0.0030096572430056284,-0.012917007611012346,60.413604227606065,-0.2534029698750333,-0.27419306360103,0.8230295449835178,1.3292118179934072
2020-05-01,SPY,282.83,-0.02593106260932565,0.307345,0.29411057836337295,0.542319627492287,0.0030036048951716937,-0.028934667504497344,60.28276142139135,-0.23497462749228704,-0.26112025156478236,0.8338606016400916,1.3335442406560367
2020-05-04,SPY,283.59,0.0026835226725117067,0.30056499999999997,0.2906860932123511,0.5391531259413703,0.0029979441749160007,-0.000314421502404294,61.10275200644887,-0.23858812594137035,-0.253609543023645,0.8278877235972296,1.331155089438892
2020-05-05,SPY,286.15,0.008986615749708271,0.282225,0.2874845985755371,0.5361759026434675,0.003001749255555991,0.00598486649415228,61.53606462891451,-0.2539509026434675,-0.2537233295635859,0.8026437261183124,1.321057490447325
2020-05-06,SPY,284.37,-0.006239941722051334,0.29530999999999996,0.2955436621007713,0.543639275715774,0.0029918885313432175,-0.009231830253394552,62.6419305329037,-0.248329275715774,-0.2519253116143153,0.7811791904749478,1.312471676189979
2020-05-07,SPY,287.7,0.011642063424442739,0.270215,0.2949695693057163,0.5431110101127726,0.0029851574418827548,0.008656905982559984,62.75314337401123,-0.27289601011277265,-0.25891554444713444,0.7467799341591719,1.2987119736636688
2020-05-08,SPY,292.51,0.016580583564199003,0.22606500000000002,0.29585709930950055,0.5439274761487055,0.0029811395612224373,0.013599444002976566,63.1602819609914,-0.3178624761487055,-0.2785645216809915,0.6941476039464299,1.277659041578572
2020-05-11,SPY,292.62,0.00037598482831491253,0.22988,0.29445839348455227,0.5426402062919337,0.002991196334276691,-0.0026152115059617786,63.52229540735333,-0.3127602062919337,-0.28996308321797226,0.6030857869882351,1.241234314795294
2020-05-12,SPY,286.55,-0.020961797952270267,0.26595,0.09274621110610155,0.3045426260905057,0.0024121684459077752,-0.023373966398178042,73.57562288889898,-0.03859262609050568,-0.20617293084215008,0.7073997014374435,1.2829598805749773
2020-05-13,SPY,281.48,-0.017851643899398084,0.308285,0.10240368636889025,0.3200057598995528,0.0023874956431541305,-0.020239139542552215,73.50660090773208,-0.011720759899552846,-0.14135554052795102,0.7729629239388222,1.309185169575529
2020-05-14,SPY,285.04,0.012568124199232145,0.28203,0.08418908948344347,0.2901535619003211,0.002382810818043035,0.01018531338118911,74.86641899289862,-0.008123561900321097,-0.09694488098540772,0.9710768987525321,1.3884307595010128
2020-05-15,SPY,286.29,0.004375761799692235,0.26366,0.08776950925771583,0.2962591926974011,0.0023867537332385724,0.0019890080664536625,75.97040440953458,-0.03259919269740108,-0.07549631822273886,1.1783417658092448,1.471336706323698
2020-05-18,SPY,294.94,0.029766662725521975,0.23789,0.06517608313240754,0.255296069559262,0.0023980141230639795,0.027368648602457996,75.28371309322786,-0.017406069559261994,-0.056132902001579915,1.4368939584346174,1.574757583373847
2020-05-19,SPY,292.21,-0.009299223956954705,0.254555,0.08813241241897626,0.2968710366791888,0.0024052265162392145,-0.01170445047319392,77.92807383305644,-0.04231603667918882,-0.051527280227449554,1.6229110759217658,1.6491644303687063
2020-05-20,SPY,296.99,0.01622574633634155,0.239715,0.0786787713563263,0.2804973642591429,0.002388943940081281,0.01383680239626027,77.91368179981798,-0.04078236425914289,-0.04794564157134734,1.6547459231058217,1.6618983692423286
2020-05-21,SPY,294.84,-0.007265631881093526,0.251915,0.09253011582495496,0.30418763259697945,0.002393248412026358,-0.009658880293119884,78.11185780369722,-0.05227263259697945,-0.049387971913224714,1.5398189633692518,1.6159275853477006
2020-05-22,SPY,295.48,0.002168316339449028,0.23925000000000002,0.09555692855229556,0.3091228373192372,0.0023737384881797885,-0.0002054221487307606,78.13131783767747,-0.06987283731923716,-0.05621626038189553,1.3454145839518208,1.5381658335807282
2020-05-26,SPY,299.2,0.012511093439785625,0.233665,0.08595474583318952,0.2931803981053125,0.002379119907829963,0.010131973531955663,78.51512000233726,-0.05951539810531248,-0.05731597295636785,1.2126019566227753,1.48504078264911
2020-05-27,SPY,303.55,0.014434095476120845,0.221975,0.08398437540803771,0.28980057868823816,0.002380455264731185,0.01205364021138966,78.39339973797948,-0.06782557868823816,-0.06081917486699129,1.0731614761566919,1.4292645904626768
2020-05-28,SPY,303.02,-0.0017475316447539413,0.23667,0.08170184538603903,0.2858353466351547,0.002407900126151691,-0.004155431770905632,79.61680265540379,-0.049165346635154705,-0.056934565456379094,1.0114048565916516,1.4045619426366607
2020-05-29,SPY,304.04,0.0033604617661504577,0.22268,0.08188337922039063,0.2861527200995836,0.0024003079894509144,0.0009601537766995433,79.77751423847188,-0.0634727200995836,-0.05911395033744726,0.9016576846928748,1.36066307387715
